security_key,code,name,cornerstone_names,cornerstone_investor_count,cornerstone_amount_hkd,cornerstone_ratio,cornerstone_lockup_months,cornerstone_lockup_end_date,cornerstone_quality_tags,industry,source_files
2513.HK,2513.HK,智谱,JSC International Investment Fund SPC(为及代表Qizhi SP行事)；WT Asset Management Limited；广发基金管理有限公司及广发国际资产管理有限公司；泰康人寿保险有限责任公司；Perseverance Asset Management International (Singapore) Pte. Ltd.；3W Fund Management Limited；Optimas Capital Limited；雾淞资本有限公司；上海高毅及CICC Financial Trading Limited(就高毅场外掉期而言)；JinYi Capital Multi-Strategy Fund SPC Ltd.(为及代表Structured Credit SP Fund行事)；凌云光技术国际有限公司,11,2984201920.0,0.6861999999999999,6.0,2026-07-08,产业方；长线基金；主权/国资；上市公司关联,应用软件,港股IPO基石投资者.csv
2519.HK,2519.HK,傲基股份,香港华成云商科技有限公司；黄嘉慧；乐舱物流股份有限公司,3,109408900.0,0.2346,6.0,2025-05-08,上市公司关联,家庭装饰零售,港股IPO基石投资者.csv
2522.HK,2522.HK,一脉阳光,卓投企业管理(香港)有限公司；联影医疗科技香港有限公司；中国新锐医药控股有限公司,3,121000000.0,0.4497999999999999,6.0,2024-12-07,产业方；主权/国资；上市公司关联,医疗保健技术,港股IPO基石投资者.csv
2525.HK,2525.HK,禾赛-W,"HHLR Advisors, Ltd.；WT Asset Management；泰康人寿保险有限责任公司；宏达集团(香港)有限公司；Commando Global Fund；Grab Inc.",6,1153700001.0,0.2773,6.0,2026-03-16,产业方；长线基金；主权/国资；上市公司关联,电子设备和仪器,港股IPO基石投资者.csv
2529.HK,2529.HK,泓盈城市服务,利亚德(香港)有限公司；蓝思科技(香港)有限公司；三安国际控股有限公司；香港嘉港贸易有限公司；湘正投资有限公司,5,67000000.0,0.5234000000000001,6.0,2024-11-17,产业方；长线基金；上市公司关联,房地产经营公司,港股IPO基石投资者.csv
2531.HK,2531.HK,广联科技控股,惠州市国惠联股权投资基金合伙企业(有限合伙),1,87998100.0,0.2944,6.0,2025-01-15,产业方；长线基金；主权/国资,信息科技咨询与其它服务,港股IPO基石投资者.csv
2533.HK,2533.HK,黑芝麻智能,启城发展有限公司；Joyson Electronic USA LLC,2,77147100.0,0.0738,6.0,2025-02-08,产业方；上市公司关联,电子元件,港股IPO基石投资者.csv
2536.HK,2536.HK,百乐皇宫,向上国际科技股份有限公司,1,70000000.0,0.1885,6.0,2024-09-26,,赌场与赌博,港股IPO基石投资者.csv
2543.HK,2543.HK,大行科工,安联环球投资亚太有限公司；Harvest International Premium Value (Secondary Market) Fund SPC；维科(香港)有限公司；Mega Prime Development Limited,4,99692598.67,0.2542,6.0,2026-03-09,产业方；长线基金,休闲用品,港股IPO基石投资者.csv
2546.HK,2546.HK,智汇矿业,斯派柯国际有限公司；GIGA Industries Limited；Poly Platinum Enterprises Limited,3,224313870.0,0.40779999999999994,6.0,2026-06-19,长线基金；上市公司关联,多种金属与采矿,港股IPO基石投资者.csv
