p04477_f001,p04477_f002,p04477_f003,p04477_f004,p04477_f005,p04477_f006,p04477_f007,p04477_f008,p04477_f009,p04477_f010,p04477_f011,p04477_f012,p04477_f013,p04477_f014,p04477_f015,p04477_f016,p04477_f017,p04477_f018,p04477_f019,p04477_f020,p04477_f021,p04477_f022,p04477_f023
0501.HK,豪威集团,2026/01/09,14551,14423,128,0,81015.00000000000000000000,1615.00000000000000000000,79400.0000000000000000,0,14551.0000000000000000000000000000000000000000,14423.0000000000000000000000000000000000000000,128,0,6874,76,6798,0,9.2800000000000000,100.0000000000000000,资讯科技业,信息技术
0100.HK,MINIMAX-W,2026/01/08,417646,397689,19957,0,131752.00000000000000000000,5515.00000000000000000000,126237.0000000000000000,0,104902.3694000000000000000000000000000000000000,84945.3694000000000000000000000000000000000000,19957,0,138,33,105,0,1837.1700000000000000,2.8100000000000000,资讯科技业,信息技术
3636.HK,金浔资源,2026/01/08,64456,63574,882,0,62571.00000000000000000000,5380.00000000000000000000,57191.0000000000000000,0,64456,63574,882,0,301,40,261,0,143.4600000000000000,7.0000000000000000,原材料业,原材料
6938.HK,瑞博生物-B,2026/01/08,42771,41829,942,0,40637.00000000000000000000,2065.00000000000000000000,38572.0000000000000000,0,5365.4970000000000000000000000000000000000000,4423.4970000000000000000000000000000000000000,942,0,311,42,269,0,101.0600000000000000,1.7100000000000000,医疗保健业,医疗保健
2513.HK,智谱,2026/01/07,204871,190045,14826,0,50470.00000000000000000000,1615.00000000000000000000,48855.0000000000000000,0,50940.0983000000000000000000000000000000000000,36114.0983000000000000000000000000000000000000,14826,0,108,26,82,0,1159.4600000000000000,5.0000000000000000,资讯科技业,信息技术
2675.HK,精锋医疗-B,2026/01/07,196179,189777,6402,0,73976.00000000000000000000,6115.00000000000000000000,67861.0000000000000000,0,19930.1026000000000000000000000000000000000000,13528.1026000000000000000000000000000000000000,6402,0,59,32,27,0,1091.9400000000000000,0.50000000000000000000,医疗保健业,医疗保健
9903.HK,天数智芯,2026/01/07,180802,171067,9735,0,83831.00000000000000000000,1215.00000000000000000000,82616.0000000000000000,0,22460.3999000000000000000000000000000000000000,12725.3999000000000000000000000000000000000000,9735,0,43,25,18,0,414.2400000000000000,7.0000000000000000,资讯科技业,信息技术
6082.HK,壁仞科技,2025/12/31,471116,441861,29255,0,130977.00000000000000000000,4015.00000000000000000000,126962.0000000000000000,0,135523.7043000000000000000000000000000000000000,106268.7043000000000000000000000000000000000000,29255,0,106,29,77,0,2347.5300000000000000,5.0000000000000000,资讯科技业,信息技术
2657.HK,林清轩,2025/12/29,169712,159642,10070,0,66221.00000000000000000000,5455.00000000000000000000,60766.0000000000000000,0,24096.8194000000000000000000000000000000000000,14026.8194000000000000000000000000000000000000,10070,0,46,33,13,0,1235.8100000000000000,2.0000000000000000,医疗保健业,日常消费品
2671.HK,美联股份,2025/12/29,53657,53443,214,0,30515.00000000000000000000,10215.00000000000000000000,20300.0000000000000000,0,3029.0513000000000000000000000000000000000000,2815.0513000000000000000000000000000000000000,214,0,231,68,163,0,146.2500000000000000,0.75000000000000000000,地产建筑业,工业
