code,name,listing_date,industry,issue_price,d1_open_ret,d1_close_ret,d1_intraday_ret,d1_amplitude,d5_close_ret,d20_close_ret,d60_close_ret,max_5_ret,min_5_ret,max_20_ret,min_20_ret,max_60_ret,min_60_ret,d1_amount,d1_volume,quote_days,label_strong_open,label_deep_v,label_broken,label_pop_then_fade,label_tradeable_20d,path_label,rule_recommendation,model_score_tradeable_20d,model_recommendation
2579.HK,中伟新材,2025-11-17,Unknown,,0.0,-0.0011764705882352,-0.0011764705882352,0.0625,-0.16,-0.2058823529411765,0.1123529411764705,0.0,-0.1688235294117647,0.0,-0.2282352941176471,0.2358823529411766,-0.2329411764705883,566904757.0,17061800.0,81,False,True,True,False,False,deep_v_rebound,Avoid chasing first day; wait for turnover stabilization,0.1892941176470588,Avoid unless fundamentals beat materially
2788.HK,创新实业,2025-11-24,Unknown,,0.0,-0.0401315789473684,-0.0401315789473684,0.1142454160789845,-0.013157894736842,0.2664473684210526,0.5157894736842106,0.0394736842105263,-0.1111842105263157,0.3421052631578947,-0.1111842105263157,0.9065789473684212,-0.1111842105263157,2465017307.0,170339680.0,81,False,True,False,False,True,deep_v_rebound,Add to first-month secondary trading pool,0.445328947368421,Low priority: watchlist or trial position only
2685.HK,量化派,2025-11-27,Unknown,,0.0,-0.2884615384615384,-0.2884615384615384,0.5191256830601092,0.0961538461538462,0.0153846153846153,0.27,0.1223076923076922,-0.3576923076923077,0.2115384615384614,-0.3576923076923077,0.5230769230769232,-0.3576923076923077,126723889.0,4893100.0,81,False,True,False,False,False,deep_v_rebound,Avoid chasing first day; wait for turnover stabilization,0.05,Avoid unless fundamentals beat materially
2693.HK,金岩高岭新材,2025-12-03,Unknown,,0.0,-0.1978494623655914,-0.1978494623655914,0.3517241379310345,-0.2580645161290322,-0.5129032258064516,-0.5118279569892473,0.053763440860215,-0.3516129032258065,0.053763440860215,-0.5172043010752688,0.053763440860215,-0.5483870967741935,99597908.0,11290500.0,81,False,False,True,False,False,persistent_break,Avoid chasing first day; wait for turnover stabilization,0.05,Avoid unless fundamentals beat materially
2539.HK,乐摩科技,2025-12-03,Unknown,,0.0,-0.1589506172839505,-0.1589506172839505,0.5953346855983774,0.0493827160493827,-0.4290123456790123,-0.7157407407407407,0.3117283950617284,-0.2391975308641976,0.3117283950617284,-0.4598765432098765,0.3117283950617284,-0.7436728395061729,155643269.0,2556200.0,81,False,True,True,True,False,deep_v_rebound,Avoid chasing first day; wait for turnover stabilization,0.05,Avoid unless fundamentals beat materially
2658.HK,天域半导体,2025-12-05,Unknown,,0.0,0.0657894736842106,0.0657894736842106,0.2589473684210528,0.2042105263157894,0.2368421052631579,0.263157894736842,0.4684210526315788,0.0,0.4684210526315788,0.0,0.5618421052631579,0.0,166823817.0,3726088.0,79,False,False,False,False,True,moderate_tradeable,Add to first-month secondary trading pool,0.6836842105263157,Medium priority: wait for first-day turnover confirmation
2408.HK,遇见小面,2025-12-05,Unknown,,0.0,0.016,0.016,0.1044176706827308,0.0,-0.134,-0.048,0.1,-0.0439999999999999,0.1,-0.1619999999999999,0.2139999999999999,-0.1619999999999999,191905283.0,36041420.0,79,False,False,True,False,False,persistent_break,Watch only or small trial position,0.3094,Avoid unless fundamentals beat materially
2687.HK,卓越睿新,2025-12-08,Unknown,,0.0,0.5119617224880384,0.5119617224880384,0.7378048780487805,0.8803827751196172,0.8421052631578949,0.6566985645933014,0.8935406698564596,-0.0191387559808611,1.1351674641148328,-0.0191387559808611,1.1351674641148328,-0.0191387559808611,143594535.0,1510300.0,78,True,False,False,False,True,strong_open,Add to first-month secondary trading pool,0.87,High priority: prepare IPO/anchor/secondary plan
2676.HK,纳芯微,2025-12-08,Unknown,,0.0,-0.0431034482758621,-0.0431034482758621,0.1026615969581747,-0.0431034482758621,0.2318964655172413,0.1827586206896549,0.0043103448275862,-0.1025862068965517,0.2879310344827586,-0.1025862068965517,0.4474137931034483,-0.1025862068965517,221531029.0,2014583.0,77,False,True,False,False,True,deep_v_rebound,Add to first-month secondary trading pool,0.4164655172413792,Low priority: watchlist or trial position only
2665.HK,图达通,2025-12-10,Unknown,,0.0,0.2090909090909092,0.2090909090909092,0.7309999999999999,0.5345454545454544,-0.0663636363636364,0.0027272727272726,0.6227272727272728,-0.0909090909090909,0.6254545454545453,-0.1609090909090909,0.6254545454545453,-0.1609090909090909,122925285.0,8929500.0,78,True,False,False,True,True,strong_open,Watch only or small trial position,0.6046363636363637,Medium priority: wait for first-day turnover confirmation
2659.HK,宝济药业－Ｂ,2025-12-10,Unknown,,0.0,0.0413223140495868,0.0413223140495868,0.1276785714285713,0.1074380165289257,0.3049586776859505,0.9669421487603308,0.1570247933884296,-0.0743801652892561,0.3520661157024793,-0.0743801652892561,2.4049586776859506,-0.0743801652892561,448750408.0,7930300.0,78,False,False,False,False,True,moderate_tradeable,Add to first-month secondary trading pool,0.5942975206611569,Medium priority: wait for first-day turnover confirmation
7618.HK,京东工业,2025-12-11,Unknown,,0.0,0.0846153846153845,0.0846153846153845,0.117693522906793,0.07,0.0938461538461539,0.1123076923076924,0.0884615384615385,-0.0261538461538461,0.1384615384615384,-0.0261538461538461,0.1384615384615384,-0.1846153846153846,543449476.0,39585468.0,78,False,False,False,False,False,moderate_tradeable,Watch only or small trial position,0.5007692307692306,Low priority: watchlist or trial position only
2655.HK,果下科技,2025-12-16,Unknown,,0.0,0.1526315789473684,0.1526315789473684,0.3028541226215642,0.1157894736842104,0.3763157894736841,0.1936842105263156,0.2973684210526315,-0.0652631578947368,0.4407894736842106,-0.0652631578947368,0.736842105263158,-0.0652631578947368,353953868.0,8732200.0,78,True,False,False,False,True,strong_open,Add to first-month secondary trading pool,0.736578947368421,High priority: prepare IPO/anchor/secondary plan
3887.HK,HASHKEY HLDGS,2025-12-17,Unknown,,0.0,-0.0044776119402984,-0.0044776119402984,0.1633986928104576,-0.1791044776119403,0.1567164179104476,-0.2462686567164179,0.0626865671641792,-0.2402985074626866,0.1641791044776119,-0.2402985074626866,0.1910447761194029,-0.3208955223880597,665577356.0,98920830.0,78,False,False,False,False,False,moderate_tradeable,Avoid chasing first day; wait for turnover stabilization,0.2767164179104477,Avoid unless fundamentals beat materially
3881.HK,希迪智驾,2025-12-19,Unknown,,0.0,-0.1368821292775665,-0.1368821292775665,0.2064220183486238,-0.1102661596958175,-0.0296577946768061,-0.9047148288973385,0.0,-0.1711026615969582,0.0205323193916349,-0.2441064638783269,0.0205323193916349,-0.9239543726235742,200821170.0,811640.0,67,False,False,False,False,False,watch,Avoid chasing first day; wait for turnover stabilization,0.0819391634980988,Avoid unless fundamentals beat materially
2546.HK,智汇矿业,2025-12-19,Unknown,,0.0,-0.2037037037037038,-0.2037037037037038,0.365,-0.1175925925925926,-0.0842592592592592,0.3722222222222222,0.011111111111111,-0.2870370370370371,0.011111111111111,-0.2870370370370371,1.0351851851851852,-0.2870370370370371,295547305.0,30390200.0,77,False,True,False,False,False,deep_v_rebound,Avoid chasing first day; wait for turnover stabilization,0.05,Avoid unless fundamentals beat materially
2695.HK,印象大红袍,2025-12-22,Unknown,,0.0,-0.2852760736196318,-0.2852760736196318,0.4592274678111587,-0.3865030674846625,-0.2822085889570552,-0.4355828220858895,0.0429447852760735,-0.4171779141104295,0.0429447852760735,-0.4171779141104295,0.0429447852760735,-0.5276073619631901,146997649.0,42683000.0,78,False,False,True,False,False,persistent_break,Avoid chasing first day; wait for turnover stabilization,0.05,Avoid unless fundamentals beat materially
2396.HK,华芢生物－Ｂ,2025-12-22,Unknown,,0.0,-0.2011834319526626,-0.2011834319526626,0.377777777777778,-0.4701183431952662,-0.6754437869822485,-0.7881656804733728,0.1005917159763314,-0.4769230769230769,0.1005917159763314,-0.6819526627218935,0.1005917159763314,-0.7908284023668639,188794968.0,4989600.0,78,False,False,True,False,False,persistent_break,Avoid chasing first day; wait for turnover stabilization,0.05,Avoid unless fundamentals beat materially
2691.HK,南华期货股份,2025-12-22,Unknown,,0.0,-0.0032858707557503,-0.0032858707557503,0.1954022988505748,0.0788608981380063,0.1610076670317632,0.2595837897042714,0.1423877327491784,-0.0876232201533406,0.3581599123767798,-0.0876232201533406,0.3943044906900328,-0.0876232201533406,78745737.0,7945500.0,78,False,False,False,False,True,moderate_tradeable,Add to first-month secondary trading pool,0.5622672508214677,Medium priority: wait for first-day turnover confirmation
2581.HK,明基医院,2025-12-22,Unknown,,0.0,-0.2738461538461538,-0.2738461538461538,0.3771186440677967,-0.3553846153846153,-0.3723076923076923,-0.4692307692307692,0.0,-0.3661538461538461,0.0,-0.3907692307692307,0.0,-0.4784615384615385,45482081.0,7845000.0,78,False,False,True,False,False,persistent_break,Avoid chasing first day; wait for turnover stabilization,0.05,Avoid unless fundamentals beat materially
2635.HK,诺比侃,2025-12-23,Unknown,,0.0,0.1601000625390869,0.1601000625390869,0.1967741935483871,0.1694809255784866,0.1888680737961225,-0.8214509068167605,0.2439024390243902,-0.0306441525953721,0.5259537210756722,-0.0306441525953721,0.7808005003126954,-0.8546591619762351,224405997.0,868750.0,68,True,False,False,False,True,strong_open,Add to first-month secondary trading pool,0.7780800500312695,High priority: prepare IPO/anchor/secondary plan
2661.HK,轻松健康,2025-12-23,Unknown,,0.0,0.1740000000000001,0.1740000000000001,0.2204081632653061,0.371,1.134,1.9279998000000005,0.3919999999999999,-0.02,1.2759999999999998,-0.02,1.9960000000000004,-0.02,320166518.0,6239600.0,78,True,False,False,False,True,strong_open,Add to first-month secondary trading pool,0.7892000000000001,High priority: prepare IPO/anchor/secondary plan
3378.HK,翰思艾泰－Ｂ,2025-12-23,Unknown,,0.0,-0.4048442906574394,-0.4048442906574394,0.713953488372093,-0.4470588235294117,-0.4083044982698961,-0.0657439446366782,0.0200692041522492,-0.5335640138408304,0.0200692041522492,-0.5335640138408304,0.0200692041522492,-0.5335640138408304,231837325.0,9903100.0,78,False,False,True,False,False,persistent_break,Avoid chasing first day; wait for turnover stabilization,0.05,Avoid unless fundamentals beat materially
2671.HK,美联股份,2025-12-30,Unknown,,0.0,-0.0694275274056031,-0.0694275274056031,0.6216216216216215,-0.0085261875761266,-0.4019488428745432,-0.5042630937880633,0.4616321559074299,-0.2472594397076737,0.4616321559074299,-0.4470158343483557,0.4616321559074299,-0.5895249695493301,123739283.0,13859700.0,79,False,True,True,True,False,deep_v_rebound,Avoid chasing first day; wait for turnover stabilization,0.1914372716199754,Avoid unless fundamentals beat materially
6651.HK,五一视界,2025-12-30,Unknown,,0.0,0.1319999999999999,0.1319999999999999,0.137142857142857,0.2451428571428571,1.4328571428571428,0.2685714285714284,0.2714285714285713,0.0,1.56,0.0,1.7571428571428571,0.0,203837954.0,5321300.0,80,False,False,False,False,True,moderate_tradeable,Add to first-month secondary trading pool,0.7555999999999998,High priority: prepare IPO/anchor/secondary plan
