thscode,ths_industry,corp_profile,ths_is_allback_mech_global,the_concept,ah_premium_rate
2576.HK,,浙江太美医疗科技股份有限公司是一家主要从事提供医药及医疗器械研发和营销数字化解决方案的中国公司。该公司主要为医药及医疗器械行业的产业链各方设计并提供软件及数字化服务。该公司的云端软件主要提供软件即服务（SaaS）产品和定制产品以及相关技术支持，包括医药及医疗器械研发数字化协作平台TrialOS和医药及医疗器械营销数字化协作平台PharmaOS。该公司的数字化服务主要包括数字化临床研究服务及独立影像评估中心（IRC）服务。该公司主要在国内和国外市场开展业务。,,"H股内地民营企业,H股",
2577.HK,,英诺赛科(苏州)科技股份有限公司是一家主要从事生产和销售硅基氮化镓（GaN-on-Si）半导体产品的中国公司。该公司的主营业务为从事设计、开发及生产若干类型的氮化镓（GaN）产品，包括分立器件、集成电路（ICs）、晶圆及模组。该公司的产品主要应用于消费电子产品、可再生能源及工业应用、汽车电子、数据中心等领域。该公司在国内和国外市场开展业务。,,"港股成交额前100[HK],联交所指定卖空证券,港股通标的股票,深港通下的港股通标的股票,H股",
2579.HK,,中伟新材料股份有限公司的主营业务是新材料、电池及新能源的研发、生产、加工与销售。公司的主要产品是高镍与超高镍前驱体、固态电池用前驱体、低空经济用前驱体、高性价比中镍高电压前驱体、高电压四氧化三钴、磷酸铁、磷酸铁锂、聚阴离子钠电正极材料、层状氧化物钠电正极材料、新能源金属产品。,,"联交所指定卖空证券,深港通下的港股通标的股票,港股通标的股票,H股,次新股[HK],H股内地民营企业",
2580.HK,,奥克斯电气有限公司是一家主要从事家用和中央空调设计、研发、生产、销售及服务的投资控股公司。该公司的家用空调包括挂机、柜机、移动空调等品类。该公司的中央空调包括单元机、热泵、模块机及末端设备等品类。该公司以“奥克斯AUX”、“华蒜”、“AUFIT”、“ShinFlow”等品牌销售其产品。该公司主要在中国国内和海外市场开展业务。,,"联交所指定卖空证券,深港通下的港股通标的股票,港股通标的股票,次新股[HK],非H股内地民营企业",
2581.HK,,"明基医院集团股份有限公司成立于2009年01月05日。公司借鉴中国台湾先进的医院运营管理经验,是中国内地一家民营营利性综合医院集团。公司目前拥有和运营两家综合医院。根据弗若斯特沙利文的数据,以2024年总收入计,公司是华东地区最大的民营营利性综合医院集团,于华东地区的市场份额为1.0%;以相同口径计,公司在全国民营营利性综合医院集团中排名第七,于中国的市场份额为0.4%;以2024年的床均收入计,公司在中国内地所有民营营利性综合医院集团中排名第一。",,"非H股内地民营企业,次新股[HK]",
2582.HK,,江苏国富氢能技术装备股份有限公司是一家氢能装备综合解决方案提供商，专注于氢能生产、储存、运输、加工、使用全产业链核心装备的研发与制造。该公司的主要产品包括车载高压供氢系统及相关产品、加氢站设备及相关产品、氢气液化及液氢储运设备、水电解制氢设备等，该公司主要在中国国内市场开展业务。,,"氢能源[HK],港股通标的股票,深港通下的港股通标的股票,联交所指定卖空证券,H股",
2583.HK,,深圳西普尼精密科技股份有限公司是一家主要从事设计制造黄金表壳手表和黄金表圈手表的中国公司。该公司的主要产品包括手表和饰品产品组合。手表产品包括传统手表和智能手表。饰品产品组合包括贵金属饰品及产品，主要包括耳环、戒指、项链和手镯等可佩戴贵金属饰品，以及金条、金牌及纪念币等其他贵金属产品，以及表带及其他手表饰品。该公司以“西普尼”品牌销售其产品。该公司主要在中国国内市场开展业务。,,"港股通标的股票,深港通下的港股通标的股票,联交所指定卖空证券,H股内地民营企业,H股,次新股[HK]",
2585.HK,,梦金园黄金珠宝集团股份有限公司是一家中国公司，主要从事珠宝设计、生产、批发和零售。该公司的多元化产品线不仅包括燕京八绝等中国非物质文化遗产工艺，还推出了跨界商品，如与知名饮料品牌合作的“吉祥黄金年”珠宝系列等。该公司还推出了以中国航天探索成就为主题的“小梦奇航”珠宝系列。该公司专注于中国三线及以下城市的市场。,,"联交所指定卖空证券,H股内地民营企业,H股",
2586.HK,,多点数智有限公司是一家主要从事为本地零售业的零售商提供零售数字化解决方案的控股公司。该公司通过三个分部运营其业务。零售核心服务云分部从事提供以Dmall OS软件及人工智慧物联网（AIoT）解决方案为基础的零售核心服务云解决方案，业务涵盖供应链管理、门店管理及电子商务运营。电子商务服务云分部从事提供线上到线下（O2O）平台服务以及物流服务。其他分部从事线下营销服务、线下营销产品及提供折扣及优惠券。该公司在国内和国外市场开展业务。,,"区块链概念[HK],人工智能[HK],深港通下的港股通标的股票,港股通标的股票,零售股[HK],非H股内地民营企业,港股VIE架构公司",
2587.HK,,健康之路股份有限公司是一家主要从事提供企业服务及数字营销服务及健康医疗服务的投资控股公司。该公司主要通过三个分部运营其业务。企业服务及数字营销服务分部从事提供企业服务及数字营销服务，主要包括内容服务、信息技术服务及数字营销服务。健康医疗服务分部从事提供健康医疗服务，主要包括医疗支持服务及价值医疗服务。其他分部从事通过多种线上及线下渠道销售的其他健康服务及产品，例如代表客户探访病人服务及销售营养补充剂等。该公司主要在国内市场开展业务。,,"联交所指定卖空证券,深港通下的港股通标的股票,港股通标的股票,非H股内地民营企业,港股VIE架构公司",
2589.HK,,沪上阿姨(上海)实业股份有限公司是一家主要从事现制茶饮店经营的中国公司。该公司提供多款由原叶茶、现磨咖啡豆或酸奶及鲜果、非浓缩还原汁（NFC）果汁、牛奶及多种谷物等其他食材制成的现制饮品。该公司采取以加盟为重点的业务模式。该公司主要在中国国内市场开展业务，其门店网络覆盖北至中国黑龙江省漠河，南至中国海南省三亚。,,"联交所指定卖空证券,港股通标的股票,深港通下的港股通标的股票,H股内地民营企业,H股,零售股[HK],非酒精饮料[HK]",
2590.HK,,北京极智嘉科技股份有限公司是一家主要从事生产销售一站式仓储机器人的中国公司。该公司主要业务包括销售自主移动机器人（AMR）解决方案及提供机器人即服务（RaaS）服务。该公司主要产品包括搬运系统、拣选系统和智能叉车等。该公司产品主要应用于服装、医药、物流、锂电、汽车等领域。该公司还从事软件开发业务。该公司于中国国内和海外市场开展业务。,,"深港通下的港股通标的股票,港股通标的股票,联交所指定卖空证券,次新股[HK],H股,同股不同权公司",
2591.HK,,广州银诺医药集团股份有限公司是一家主要从事医药产品的研发及商业化的中国投资控股公司。该公司主要从事商业化原研人源长效胰高血糖素样肽-1（GLP-1）受体激动剂。该公司致力于开发糖尿病和其他代谢性疾病的疗法。该公司的主要产品依苏帕格鲁肽α（商品名：怡诺轻）用于治疗2型糖尿病（T2D）。该公司的主要候选药物管线产品包括YN014、YN401、YN209、YN203和YN202。该公司主要在国内市场经营其业务。,,"深港通下的港股通标的股票,港股通标的股票,H股,次新股[HK],生物科技公司（18A）",
2592.HK,,拨康视云制药有限公司是一家临床阶段的眼科生物技术公司，从事开发各种治疗方法。该公司专注于眼科疗法的内部发现、开发和商业化。该公司拥有两款核心产品 CBT-001和CBT-009，均为自主研发。该公司的核心产品CBT-001用于治疗翼状胬肉（一种良性增生性眼表疾病），已在美国和中国启动III期多区域临床试验（MRCT）。该公司的核心产品CBT-009用于治疗青少年近视（5至19岁儿童和青少年的近视），已完成I/II期临床试验。该公司的其他候选药物处于相对早期的开发阶段，包括另外两种临床阶段候选药物，即CBT-006和CBT-004，以及四种临床前阶段候选药物，即CBT-007、CBT-199、CBT-145和CBT-011。,,"联交所指定卖空证券,次新股[HK],非H股内地民营企业,生物科技公司（18A）",
2593.HK,,草姬集团控股有限公司是一家主要从事开发及销售保健品的公司。该公司还从事开发及销售美容与护肤品以及宠物保健品。此外，该公司经营的品牌包括“草姬”及其他等品牌。,,非H股内地民营企业,
2595.HK,,劲方医药科技(上海)股份有限公司是一家专注于创新药物研发的中国公司。该公司为肿瘤、自身免疫性疾病和炎症性疾病提供有效的新型治疗方案。该公司的研发平台涵盖靶点发现、分子发现与评估、转化科学和临床开发，以及制剂研究、工艺开发和质量分析等关键化学生产和控制环节。该公司主要致力于新分子类型和新药物模式的开发，分子工艺路线和质量标准的研究，以及差异化临床开发策略和路径的探索。该公司主要在中国国内和海外市场开展业务。,,"深港通下的港股通标的股票,港股通标的股票,联交所指定卖空证券,H股,次新股[HK],H股内地民营企业,生物科技公司（18A）",
2596.HK,,宜宾市商业银行股份有限公司是一家主要从事运营城市商业银行的中国公司。该公司主要通过四个分部运营其业务。公司银行分部从事为公司及机构客户提供金融产品及服务，包括公司贷款、票据贴现及再贴现、公司存款和手续费及佣金类产品及服务。零售银行分部从事向零售银行客户提供产品和服务，包括贷款、存款、银行卡以及其他手续费及佣金类服务。金融市场分部包括同业拆放市场业务和金融投资业务。未分配分部包括租金收入及其他杂项收入。该公司主要在国内市场开展业务。,,"联交所指定卖空证券,H股",
2597.HK,,北京讯众通信技术股份有限公司的主营业务是云通信平台服务（含短信、语音、移动流量及智能云联络服务），以及智能通信解决方案（以软件和软硬件结合的方式为客户提供行业应用及市政治理、安全监管等通信连接解决方案）。公司的主要产品是云通信平台服务（含短信、语音、移动流量及智能云联络服务），以及智能通信解决方案（以软件和软硬件结合的方式为客户提供行业应用及市政治理、安全监管等通信连接解决方案）。,,"次新股[HK],H股",
2598.HK,,连连数字科技股份有限公司是一家主要提供数字支付解决方案是中国公司。该公司主要通过四个分部开展业务。全球支付分部业务主要包括收款、付款和收单，并提供支持多种货币的快速汇兑服务。境内支付分部的业务主要包括聚合支付、收单及付款。增值服务分部的业务包括商业服务，主要包含数字化营销及引流服务，还包括技术服务，主要包含账户及电子钱包以及软件开发。其他分部主要提供物业租赁服务，小额贷款及保理服务。,,"联交所指定卖空证券,区块链概念[HK],H股,H股内地民营企业",
2603.HK,,厦门吉宏科技股份有限公司的主营业务是跨境电商业务、环保包装及食品包装的生产和销售。公司的主要产品是纸盒纸箱、食品包装、纸袋、其他类型包装、电商业务及其他。,,"H股,次新股[HK],港股通标的股票,深港通下的港股通标的股票,H股内地民营企业",
2605.HK,,元光科技是一家主要从事提供移动广告服务及车辆动态信息以及数据技术服务的投资控股公司。该公司营运的车来了是一款移动应用程序（APP），运用大数据分析提供实时的公交车到达信息。车来了免费为用户提供服务，使广告主可投放基于展示的广告的移动广告服务。该公司还为企业及政府提供数据分析产品及服务，实现预测及支持智慧决策。数据技术服务主要包括通过交付定制公共交通信息包提供数据驱动的服务，以及信息技术解决方案。,,"非H股内地民营企业,次新股[HK],港股VIE架构公司",
2609.HK,,佰泽医疗集团是一家主要从事投资及提供医疗相关服务的肿瘤医疗公司。该公司在肿瘤全周期医疗服务领域提供服务，包括筛查、诊断、治疗及康复。该公司主要从事医院业务、医院管理服务、供应药品、医疗设备及耗材及其他业务。该公司业务包括对患者开展肿瘤诊断、肿瘤治疗、肿瘤康复及临终关怀等，以及对其他潜在健康人群开展的早癌筛查、肿瘤疫苗接种、健康管理服务。该公司主要在中国市场开展业务。,,"联交所指定卖空证券,港股通标的股票,深港通下的港股通标的股票,非H股内地民营企业,次新股[HK]",
2610.HK,,南山铝业国际控股有限公司是一家总部位于印尼的投资控股公司。该公司及其子公司主要从事氧化铝的生产和销售。其子公司包括Hong Kong Nanshan Aluminium Management Company Limited、Prime Aluminium Investment Holding Limited和Global Aluminium Investment Holding Limited。其主要产品是透过低温拜耳法生产的冶金级氧化铝。有时，该公司还向客户提供氢氧化铝，这是其氧化铝生产过程中的半成品。其生产工厂均位于廖内省民丹岛经济特区。该公司在当地采购铝土矿。该公司的客户遍布中国大陆以外，主要位于东南亚，尤其是马来西亚和新加坡。,,"港股通标的股票,深港通下的港股通标的股票,联交所指定卖空证券,非H股内地民营企业",
2613.HK,,上海汇舸环保科技集团股份有限公司是一家主要从事提供船舶环境保护设备及系统的中国公司。该公司主要经营四个业务分部。船舶脱硫系统业务分部从事销售船舶废气净化系统（包括开式及混合式）。船舶节能装置业务分部从事销售节能装置，包括舵球、前置预旋导轮、消涡鳍、导风罩等。舶清洁能源供应系统业务分部从事销售低闪点燃料供给系统及双燃料供气系统。海事服务业务分部从事船舶内装，提供相关设备及其他海事服务。该公司在国内和国外市场开展业务。,,"H股,H股内地民营企业",
2617.HK,,药捷安康(南京)科技股份有限公司是一家从事生物制药的中国公司，主要专注于发现及开发肿瘤、炎症及心脏代谢疾病小分子创新疗法。该公司的核心产品Tinengotinib是一种处于注册临床阶段的内部发现和开发的MTK抑制剂，适用于某些复发或难治的耐药实体瘤。该公司的肿瘤产品线包括TT-00973（针对 AXL）、TT-01488（用于血液系统恶性肿瘤）、TT-01688（用于炎症性疾病）和TT-00920（用于慢性心力衰竭）。这些产品能够对多种癌症类型（包括前列腺癌、肝癌、乳腺癌和BTC）产生疗效。它还可用于治疗肝细胞癌、乳腺癌、胆道癌和Pan-FGFR实体瘤。,,"联交所指定卖空证券,深港通下的港股通标的股票,港股通标的股票,次新股[HK],H股,生物科技公司（18A）",
2619.HK,,湖北香江电器集团股份有限公司是一家主要从事生活家居用品制造和销售的中国公司。该公司专注电器类家居用品及非电器类家居用品的研发、设计、生产与销售。该公司的电器类家居用品分为三大类。电热类家电包括电烤炉、空气炸锅及电热水壶。电动类家电包括搅拌机、打蛋器及电动开罐器。电子类家电包括电子秤、加湿器及镭射灯。该公司也提供非电器类家居用品，如花园水管及锅具。该公司品牌有“威麦丝”、“Accuteck”及“艾格丽”。该公司主要在中国国内和海外市场开展业务。,,"H股内地民营企业,H股,次新股[HK]",
2621.HK,,手回集团有限公司是一家主要提供保险交易服务及保险技术服务的投资控股公司。该公司主要通过两个分部开展业务。保险交易服务分部作为代理代表保险公司分销保险产品。保险技术服务分部向若干保险公司及其他客户提供咨询及其他服务。该公司致力于通过人身险交易及服务平台，在线为投保人及被保险人提供保险服务解决方案。该公司通过三个平台促成的三个分销渠道分销人身险产品，即于小雨伞进行在线直接分销，于咔嚓保通过保险代理人进行分销，及于牛保100在业务合作伙伴的协助下进行分销。,,"非H股内地民营企业,次新股[HK],港股VIE架构公司",
2625.HK,,江苏宏信超市连锁股份有限公司是一家主要从事经营超市及便利店零售业务的中国公司。该公司主要从事四个业务。批发业务向经销商及其他零售经营者（包括其他超市及便利店经营者以及餐饮业经营者）销售粮油、食品及其他产品。零售业务以“宏信龙”品牌经营超市和便利店，以及商城。租赁业务从事零售店舖及商城的部分店舖面积或舖位租赁予餐厅、酒店及药店等其他零售运营商。供应及销售餐食业务从事餐食的生产，并向当地企业、学校或政府机构配送。该公司主要在中国国内市场开展业务。,,"H股内地民营企业,H股",
2627.HK,,江苏中慧元通生物科技股份有限公司是一家主要从事疫苗的研发、制造及商业化中国公司。该公司的产品管线包括两种核心产品，即四价流感病毒亚单位疫苗及在研冻干人用狂犬病疫苗，以及其他11种在研疫苗。该公司主要在中国市场开展业务。,,"港股通标的股票,深港通下的港股通标的股票,联交所指定卖空证券,次新股[HK],H股内地民营企业,H股,生物科技公司（18A）",
2629.HK,,Mirxes Holding Company Limited是一家专注于早期癌症检测和精准医疗的微核糖核酸（miRNA）技术公司。该公司开发并商业化精准、非侵入性且价格合理的血液miRNA检测试剂盒产品，用于癌症和其他疾病的早期检测。该公司业务分部包括传染病业务以及早期检测和精准多组学业务。该公司的解决方案涵盖癌症筛检、临床测序、癌症治疗选择和传染病领域。该公司拥有核心产品GASTROClear、另外两款已商业化产品LUNGClear和Fortitude，以及六款处于临床前阶段的候选产品。GASTROClear是一种以血液为基础的miRNA检测组，包含12种用于胃癌筛检的miRNA生物标记。LUNGClear是其肺癌筛检候选产品，是一种由多中心研究发现和验证的miRNA生物标记组成的检测组。该公司提供完整的COVID-19检测解决方案。,,"联交所指定卖空证券,深港通下的港股通标的股票,港股通标的股票,次新股[HK],生物科技公司（18A）",
2630.HK,,"苏州旺山旺水生物医药股份有限公司成立于2013年1月21日。致力于在公司的战略重点治疗领域(即神经精神及生殖健康)发现、获取、开发和商业化小分子药物。公司已获取并开发了两款核心产品LV232及TPN171。LV232是一款双靶点5-羟色胺转运体/5-羟色胺3(‘5-HTT/5-HT’)用于治疗重度抑郁症的受体调节剂。而TPN171是一款用于治疗勃起功能障碍(‘ED’的5型磷酸二酯酶(‘PDE5’))抑制剂。公司还有四款候选药物处于临床阶段,三款候选药物处于临床前阶段。",,"H股,次新股[HK],生物科技公司（18A）",
2631.HK,,山东天岳先进科技股份有限公司的主营业务是高品质碳化硅衬底的研发与产业化。公司的主要产品是碳化硅半导体材料。公司凭借在衬底技术突破与量产应用上的显著成果，斩获多项高含金量奖项，其中核心荣誉实现重大突破：公司导电型碳化硅衬底获评“国家制造业单项冠军”，继半绝缘型碳化硅衬底已获此项殊荣后再添佳绩，成功成为行业首个“双料单项冠军”，充分彰显公司在碳化硅衬底核心领域的绝对领先地位；凭借“高品质碳化硅单晶衬底产业化制备关键技术及应用”相关成果，荣获山东省科技进步特等奖，该奖项作为山东省科技领域最高荣誉之一，充分肯定了公司在碳化硅技术产业化落地、推动区域半导体产业高质量发展中的突出贡献；荣获国家知识产权局颁发的“中国专利奖（银奖）”，该奖项是中国知识产权领域的最高政府奖项，竞争极为激烈，充分彰显公司雄厚的技术研发实力与高价值专利培育能力；凭借“全系列12英寸碳化硅衬底全球首发”成果，入选“2025年度中国第三代半导体技术十大进展”，彰显公司在大尺寸衬底领域的全球引领地位；荣获中国电子材料行业协会半导体材料分会颁发的“半导体材料行业突出贡献奖”，肯定了公司在技术研发、国产化替代方面的突破性贡献；凭借“高品质碳化硅单晶衬底产业化制备关键技术及应用”项目，荣获“国际发明展览会银奖”，体现公司技术创新的国际影响力；同时，公司获评“山东省先进级（省级）智能工厂”，彰显智能制造领域的标杆水平，以及“山东省新材料领军培育企业”“济南市服务产业链发展优质链主企业”，凸显在区域产业发展中的核心引领作用。,,"联交所指定卖空证券,港股通标的股票,深港通下的港股通标的股票,H股内地民营企业,H股,次新股[HK]",
2632.HK,,"江苏泽景汽车电子股份有限公司成立于2015年5月29日。公司专注于HUD解决方案。于往绩记录期间,公司提供以公司的挡风玻璃HUD(简称‘W-HUD’)解决方案CyberLens及公司的增强现实HUD(简称‘AR-HUD’)解决方案CyberVision为主,以测试解决方案和其他创新视觉技术解决方案为辅的综合解决方案。公司在解决方案定义阶段与主机厂深度合作共创,带来人车交互与智能驾驶体验更加深入的新车型。",,"H股,次新股[HK]",
2635.HK,,"诺比侃人工智能科技(成都)股份有限公司成立于2015年3月6日，公司专注于AI和数字孪生等先进技术在交通、能源及城市治理等领域的产业化应用。公司主要提供基于全面的AI行业模型的软硬件一体化解决方案,用于监测、检测和运维等用途。",,"港股通标的股票,深港通下的港股通标的股票,次新股[HK],H股",
2637.HK,,福建海西新药创制股份有限公司是一家主要从事仿制药和创新药研发、生产及销售的中国公司。该公司的主要产品包括安必力、海慧通、瑞安妥、赛西福。该公司的产品主要用于消化系统疾病、心血管系统疾病、内分泌系统疾病、神经系统疾病、炎症疾病、癌症、眼科及呼吸系统疾病等。该公司主要在中国国内开展业务。,,"深港通下的港股通标的股票,港股通标的股票,H股,H股内地民营企业,次新股[HK]",
2643.HK,,曹操出行有限公司是一家投资控股公司，主要从事运营以新能源为重点的网络叫车平台，提供一系列移动出行服务及其他服务，并销售车辆。该公司经营四项业务，包括出行服务、车辆租赁、车辆销售和其他服务。该公司的出行服务业务以“曹操出行”及“礼帽出行”品牌提供网约车服务，包括惠选服务及专车服务。车辆租赁业务主要向第三方提供车辆租赁服务。车辆销售向其运力合作伙伴、个人司机、其他第三方出租车公司及汽车经销商出售购自关联方的新车。其他服务包括广告、运输服务、同城配送服务、客户推荐服务、技术支援及其他服务。,,"联交所指定卖空证券,港股通标的股票,深港通下的港股通标的股票,次新股[HK],非H股内地民营企业,港股VIE架构公司",
2648.HK,,安井食品集团股份有限公司的主营业务是速冻调制食品（以速冻鱼糜制品、速冻肉制品为主）、速冻菜肴制品和速冻面米制品等速冻食品的研发、生产和销售。公司的主要产品是速冻调制食品、速冻菜肴制品、速冻面米制品、烘焙食品。截至2025年12月31日，公司（不含外协工厂）已取得ISO22000、ISO9001、FSSC22000、BRCGS、HACCP等多类管理体系的46项认证证书。,,"联交所指定卖空证券,深港通下的港股通标的股票,港股通标的股票,次新股[HK],H股,H股内地民营企业",
2649.HK,,"苏州优乐赛共享服务股份有限公司成立于2016年12月12日，公司是中国循环包装服务提供商,主要专注于为汽车行业内的汽车零部件制造商及OEM提供服务。公司主要提供共享运营,这是一种共用模式,根据这一模式,公司为客户管理托盘、板条箱或容器等循环包装,代表客户处理循环包装的储存、配送及归还(主要透过分包第三方物流服务提供商进行)、清洁和维护。除了共享运营,公司还为倾向于自主管理循环包装的客户提供租赁服务、提供仓储管理和客户自有容器管理等增值服务、同时也将容器出售予可独立管理容器的客户。根据弗若斯特沙利文,按2024年收入计,公司是中国循环包装服务第二大提供商,市场份额为1.5%;及中国汽车共享运营服务市场的最大提供商,市场份额为8.2%。于2024年,循环包装服务、共享运营服务及汽车共享运营服务分别占中国整体物流包装解决方案市场的6.4%、2.4%及1.0%。集团经营所在行业(包括中国的循环包装服务及共享运营服务市场)高度分散且竞争激烈。",,"次新股[HK],H股内地民营企业,H股",
2650.HK,,上海挚达科技发展股份有限公司是一家主要从事家用电动汽车充电桩业务的中国公司。该公司产品主要包括：智慧家用电动汽车充电桩及配件、电动汽车充电机器人、EMS解决方案和管线产品。该公司还提供包括系统升级及充电桩安装优化、电动汽车充电桩硏发、储能技术服务、现场勘察服务、软件开发服务等。该公司客户主要包括汽车制造商、零售客户及分销商。,,"港股通标的股票,深港通下的港股通标的股票,次新股[HK],H股,H股内地民营企业",
2651.HK,,武汉大众口腔医疗股份有限公司是一家主要从事口腔医疗服务的中国公司。该公司的主要业务包括综合牙科诊疗服务、口腔种植服务、口腔正畸服务。该公司的品牌为“爱尚大众口腔”。该公司还从事牙齿美容修复服务、儿童牙科服务和牙周治疗服务。该公司主要于中国国内开展业务。,,"H股,H股内地民营企业,次新股[HK]",
2652.HK,,长风药业股份有限公司是一家专注于吸入技术及吸入药物的研发、生产及商业化的中国公司。该公司的产品组合主要针对呼吸系统疾病，包括哮喘、慢性阻塞性肺病（COPD）和过敏性鼻炎。该公司主要产品包括CF017，即治疗支气管哮喘的吸入用布地奈德混悬液，以及CF018，一种用于治疗过敏性鼻炎的氮?斯汀氟替卡松鼻喷雾剂。该公司主要在中国国内市场开展业务。,,"深港通下的港股通标的股票,港股通标的股票,次新股[HK],H股,H股内地民营企业",
2655.HK,,"果下科技股份有限公司成立于2019年1月4日,作为一家中国储能行业的可再生能源解决方案及产品提供商,公司专注于研发并向公司的客户及终端用户提供储能系统解决方案及产品。公司的储能系统解决方案和产品广泛应用于中国市场及海外市场的大型电源侧及电网侧以及工商业及家庭场景。根据灼识咨询,公司为业内较早实现储能系统解决方案及╱或产品的互联网云端整合及开发数字化能源管理全景互联网云平台的参与者之一。",,"深港通下的港股通标的股票,港股通标的股票,H股,H股内地民营企业,次新股[HK]",
2656.HK,,健康160国际有限公司是一家主要从事医药销售的投资控股公司。该公司主要从事两大业务。医药健康用品销售业务主要包括通过批发模式和零售模式向企业或个人用户提供药品。数字医疗健康解决方案业务主要包括提供在线营销解决方案、数字医院解决方案、在线健康服务。该公司还从事其他增值业务。该公司经营健康160平台。该公司主要在中国国内开展业务。,,"深港通下的港股通标的股票,港股通标的股票,联交所指定卖空证券,次新股[HK],非H股内地民营企业,港股VIE架构公司",
2657.HK,,"上海林清轩化妆品集团股份有限公司成立于2011年12月22日。公司为中国高端国货护肤品牌,聚焦抗皱紧致类护肤品市场,并以长期致力于以公司的旗舰品牌林清轩提供基于山茶花成分的高端护肤改善方案而著称。根据灼识咨询的资料,自2012年展开山茶花护肤品研究以来,公司开创‘以油养肤’理念及山茶花面部精华油。公司致力于提供安全及有效的护肤产品,首款山茶花精华油于2014年问世,该款产品为公司的核心以油养肤产品线奠定基础。历经十余载耕耘,公司已于细胞级抗皱精华油方面积累了专业知识。按全渠道销售的总零售额计,公司的山茶花精华油自2014年以来连续11年于所有面部精华油产品中位居全国榜首。",,"次新股[HK],H股内地民营企业,H股",
2658.HK,,"广东天域半导体股份有限公司成立于2009年1月7日。公司为一家主要专注于自制碳化硅外延片的碳化硅外延片制造商。外延片是生产功率半导体器件的关键原材料。与硅等传统半导体材料比较,碳化硅(作为第三代半导体材料之一)具有显著的性能优势,更适用于高压、高温及高频率环境。透过切割、研磨及抛光碳化硅衬底(公司产品的主要原材料),即可获得用于生长外延层、同时具备特定晶面以及适当电学、光学和机械性能的单个外延片。通过外延工艺,可在外延片上生长出特定的单晶薄膜。以2024年全球市场中自制碳化硅外延片所产生的收入及销量计,公司是中国第三大碳化硅外延片制造商,市场份额分别为6.7%(以收入计)及7.8%(以销量计)。以2024年中国市场中自制碳化硅外延片所产生的收入及销量计,公司亦是最大的自制碳化硅外延片制造商,市场份额分别为30.6%(以收入计)及32.5%(以销量计)。",,"次新股[HK],H股内地民营企业,H股",
2659.HK,,"上海宝济药业股份有限公司成立于2019年12月16日。公司是一家生物技术公司,拥有一项获批准产品及多元化的临床管线,利用合成生物技术在中国开发及提供重组生物药物,专注于攻克治疗选择有限且药物制造工艺复杂的目标病症。自成立以来,公司策略重点在于生产生物药物,通过替代源自动物器官、血液或尿液的生化提取产品,或以其他方式升级现有治疗手段,提升治疗标准。公司以底盘细胞打造技术为支持,结合公司的药物设计及生物制造能力建立专有技术平台。公司的技术平台使公司能够在四个战略性治疗领域的候选药物开发中占据竞争地位,根据弗若斯特沙利文的资料,到2033年,临床可触及市场规模合计将约达人民币500亿元:(i)大容量皮下给药,(ii)抗体介导的自身免疫性疾病,(iii)辅助生殖药物及(iv)以重组生物制药取代传统生化制品的变革性产品。",,"深港通下的港股通标的股票,港股通标的股票,次新股[HK],H股,H股内地民营企业,生物科技公司（18A）",
2661.HK,,"轻松健康集团成立于2014年11月12日，公司于中国提供数字综合健康服务及健康保险解决方案。根据沙利文报告的资料,按2024年的收入计,公司于中国数字综合健康服务及健康保险服务市场排名第10位。具体而言,根据同一资料来源,按2024年的收入计,公司在中国数字健康服务市场排名第七。公司致力于通过一套易用、精准且可负担的健康解决方案,为有需要的人提供保障和支持。",,"港股通标的股票,深港通下的港股通标的股票,港股VIE架构公司,非H股内地民营企业,次新股[HK]",
2665.HK,,"Seyond Holdings Ltd.成立于2016年11月4日。公司是设计、开发及生产车规级激光雷达解决方案的全球领导者。根据灼识咨询的资料,2024年,公司交付总计约230,000台车规级激光雷达,于往绩记录期间ADAS激光雷达解决方案累计销售收入全球排名第二。公司相信,具有高图像级分辨率及远探测距离的车规级激光雷达对于实现关键任务目标及达成任何激光雷达解决方案的根本目的-增强安全性及提高用户体验-均至关重要。截至最后实际可行日期,蔚来(高端智能电动汽车市场的先驱及领先企业)已选择在其九款车型上采用公司的激光雷达解决方案,公司相信这充分证明了公司解决方案的独特价值主张。公司为高级驾驶辅助系统(‘ADAS’)以及其他汽车及非汽车应用场景提供激光雷达解决方案。公司解决方案的卓越性能、公司在商业化及量产方面的成功及领先地位,以及公司在中国及美国站稳脚跟,这一切使公司脱颖而出,并助力公司不断创新,成为人类安全技术的先锋。",,"港股通标的股票,深港通下的港股通标的股票,次新股[HK]",
2670.HK,,北京云迹科技股份有限公司是一家主要从事提供机器人及功能套件，辅以人工智能（AI）数字化系统的服务的中国公司。该公司的机器人及功能套件包括YJ-机器人、YJ-AIoT组件、YJ-万物工具仓模块及智能控制模组。该公司的AI数字化系统包括AI驱动的机器人基础服务及智能体应用。该公司的AI驱动的机器人基础服务包括YJ-ROS授权使用及机器人及功能套件的综合AI支持。该公司的智能体应用包含服务数字化运营系统（HDOS）及YJ-Platform。该公司在中国国内和海外市场开展业务。,,"联交所指定卖空证券,次新股[HK],H股内地民营企业,H股,特专科技公司（18C）",
