code,name,listing_date,record_date,margin_amount_hkd,public_offer_amount_hkd,margin_multiple,margin_over_text,currency,source_table
2643.HK,曹操出行,2025-06-25,2025-06-20,2178030000,185290000,13.1209,超购于10.7549倍,HKD,孖展数据
2609.HK,佰泽医疗,2025-06-23,2025-06-18,1701990000,89850000,21.8901,超购于17.9427倍,HKD,孖展数据
2617.HK,药捷安康-B,2025-06-23,2025-06-18,54591650000,20100000,3628.9518,超购于2791.5014倍,HKD,孖展数据
2050.HK,三花智控,2025-06-23,2025-06-18,340625870000,568280000,777.9222,超购于598.4017倍,HKD,孖展数据
3288.HK,海天味业,2025-06-19,2025-06-16,400510540000,573330000,906.8347,超购于697.5651倍,HKD,孖展数据
2573.HK,新琪安,2025-06-10,2025-06-05,2899750000,22120000,169.0827,超购于130.0636倍,HKD,孖展数据
9881.HK,容大科技,2025-06-10,2025-06-05,5324140000,22080000,312.1683,超购于240.1295倍,HKD,孖展数据
2605.HK,元光科技,2025-06-10,2025-06-05,5169590000,24230000,276.0087,超购于212.3144倍,HKD,孖展数据
2621.HK,手回集团,2025-05-30,2025-05-27,16444700000,19680000,1084.8271,超购于834.4824倍,HKD,孖展数据
2603.HK,吉宏股份,2025-05-27,2025-05-22,2915520000,72530000,48.6062,超购于39.1986倍,HKD,孖展数据
2565.HK,派格生物医药-B,2025-05-27,2025-05-22,19130050000,30080000,825.3377,超购于634.8751倍,HKD,孖展数据
1276.HK,恒瑞医药,2025-05-23,2025-05-20,222795270000,543960000,531.1584,超购于408.5833倍,HKD,孖展数据
2629.HK,MIRXES-B,2025-05-23,2025-05-20,2805510000,108620000,30.2896,超购于24.8275倍,HKD,孖展数据
3750.HK,宁德时代,2025-05-20,2025-05-15,282298290000,2325470000,156.5121,超购于120.3939倍,HKD,孖展数据
6831.HK,绿茶集团,2025-05-16,2025-05-13,34150560000,121050000,365.444,超购于281.1107倍,HKD,孖展数据
2589.HK,沪上阿姨,2025-05-08,2025-05-02,94043230000,27280000,4480.6007,超购于3446.6159倍,HKD,孖展数据
2865.HK,钧达股份,2025-05-08,2025-05-02,988750000,181420000,7.4761,超购于4.4501倍,HKD,孖展数据
1333.HK,博雷顿,2025-05-07,2025-04-30,4375640000,23400000,241.7911,超购于185.9931倍,HKD,孖展数据
9606.HK,映恩生物-B,2025-04-15,2025-04-10,16741010000,155540000,138.6182,超购于106.6294倍,HKD,孖展数据
3677.HK,正力新能,2025-04-14,2025-04-09,266540000,100500000,2.7755,超购于1.6521倍,HKD,孖展数据
2625.HK,江苏宏信,2025-03-31,2025-03-26,666920000,16070000,50.2179,超购于40.4983倍,HKD,孖展数据
2569.HK,舒宝国际,2025-03-27,2025-03-24,2140140000,15000000,184.1788,超购于141.6760倍,HKD,孖展数据
2610.HK,南山铝业国际,2025-03-25,2025-03-20,652840000,277940000,2.266,超购于1.3488倍,HKD,孖展数据
2561.HK,维昇药业-B,2025-03-21,2025-03-18,4907190000,74530000,84.2975,超购于64.8442倍,HKD,孖展数据
6693.HK,赤峰黄金,2025-03-10,2025-03-05,2195800000,325550000,8.3301,超购于5.7449倍,HKD,孖展数据
2097.HK,蜜雪集团,2025-03-03,2025-02-26,1839381490000,345470000,6920.3735,超购于5323.3642倍,HKD,孖展数据
1364.HK,古茗,2025-02-12,2025-02-07,27133700000,157660000,222.4329,超购于171.1022倍,HKD,孖展数据
2571.HK,赛目科技,2025-01-15,2025-01-10,71310000,60000000,0.4165,超购于0.1884倍,HKD,孖展数据
2596.HK,宜宾银行,2025-01-13,2025-01-08,20850000,187240000,,未足额,HKD,孖展数据
0805.HK,新吉奥房车,2025-01-13,2025-01-08,109020000,39360000,2.9732,超购于1.7698倍,HKD,孖展数据
0325.HK,布鲁可,2025-01-10,2025-01-07,878653890000,145580000,7844.7775,超购于6034.4442倍,HKD,孖展数据
