code,name,listing_date,total_applicants,valid_applicants,subscribed_shares,public_subscription_multiple_ballot,one_lot_success_rate_pct,industry_level_1,industry_level_2,source_table
0325.HK,布鲁可,2025-01-09,126841,98721,39336.8348,5999.96,10.0,非必需性消费,非日常生活消费品,IPO打新中签结果
2530.HK,纽曼思,2025-01-09,9340,9277,5958.051,65.17,50.01,医疗保健业,非日常生活消费品,IPO打新中签结果
2560.HK,海螺材料科技,2025-01-08,11856,11839,9681.8,25.83,70.0,原材料业,原材料,IPO打新中签结果
2613.HK,汇舸环保,2025-01-08,12389,12351,7754.7891,55.33,40.01,工业,工业,IPO打新中签结果
6681.HK,脑动极光-B,2025-01-07,10891,10878,7467.9263,11.39,50.01,医疗保健业,医疗保健,IPO打新中签结果
2506.HK,讯飞医疗科技,2024-12-27,3136,3128,3136.0,3.66,80.05,医疗保健业,医疗保健,IPO打新中签结果
2577.HK,英诺赛科,2024-12-27,6105,6095,5531.8867,2.87,80.01,资讯科技业,信息技术,IPO打新中签结果
2587.HK,健康之路,2024-12-27,4889,4869,3224.6702,34.42,50.0,医疗保健业,信息技术,IPO打新中签结果
2431.HK,佑驾创新,2024-12-24,11407,11382,7898.8897,14.04,50.01,资讯科技业,非日常生活消费品,IPO打新中签结果
2432.HK,越疆,2024-12-20,4243,4232,2673.9687,9.25,50.0,资讯科技业,信息技术,IPO打新中签结果
0999.HK,小菜园,2024-12-19,2488,2483,2488.0,1.44,100.0,非必需性消费,非日常生活消费品,IPO打新中签结果
2593.HK,草姬集团,2024-12-18,55863,48647,17045.2892,6083.63,3.0,医疗保健业,医疗保健,IPO打新中签结果
1318.HK,毛戈平,2024-12-09,69601,61726,69601.0,919.18,100.0,医疗保健业,日常消费品,IPO打新中签结果
2570.HK,重塑能源,2024-12-05,2411,2408,1875.0121,1.55,56.81,工业,信息技术,IPO打新中签结果
2586.HK,多点数智,2024-12-05,2988,2984,2988.0,1.94,100.0,资讯科技业,通讯业务,IPO打新中签结果
2585.HK,梦金园,2024-11-28,8591,8553,3718.0331,20.58,7.66,非必需性消费,非日常生活消费品,IPO打新中签结果
2566.HK,九源基因,2024-11-27,30759,28214,21275.3921,675.83,20.01,医疗保健业,医疗保健,IPO打新中签结果
6936.HK,顺丰控股,2024-11-26,82574,81205,47246.1928,79.07,20.0,工业,工业,IPO打新中签结果
2582.HK,国富氢能,2024-11-14,5904,5868,2428.8435,21.07,15.03,工业,工业,IPO打新中签结果
2519.HK,傲基股份,2024-11-07,5570,5546,4896.0496,17.74,70.02,非必需性消费,非日常生活消费品,IPO打新中签结果
2551.HK,晶科电子股份,2024-11-07,61975,54157,15229.3162,5677.83,0.24,工业,信息技术,IPO打新中签结果
2510.HK,德翔海运,2024-10-31,6861,6846,3023.6178,12.09,5.87,工业,工业,IPO打新中签结果
2563.HK,华昊中天医药-B,2024-10-30,7175,7149,1970.6857,21.45,4.45,医疗保健业,医疗保健,IPO打新中签结果
2465.HK,龙蟠科技,2024-10-29,6292,6282,5377.9098,3.99,70.02,工业,信息技术,IPO打新中签结果
9660.HK,地平线机器人-W,2024-10-23,28115,27095,28115.0,33.83,100.0,资讯科技业,非日常生活消费品,IPO打新中签结果
2460.HK,华润饮料,2024-10-22,61885,56146,51046.9534,234.49,30.0,必需性消费,日常消费品,IPO打新中签结果
2567.HK,七牛智能,2024-10-15,15747,15719,14402.0,19.87,80.0,资讯科技业,信息技术,IPO打新中签结果
9639.HK,荣利营造,2024-10-08,14898,14821,7912.0202,120.6,25.0,地产建筑业,工业,IPO打新中签结果
2576.HK,太美医疗科技,2024-10-07,25455,25269,7800.2975,156.33,2.69,资讯科技业,信息技术,IPO打新中签结果
2549.HK,卡罗特,2024-09-30,56802,50883,34849.1495,1347.27,15.0,非必需性消费,非日常生活消费品,IPO打新中签结果
0300.HK,美的集团,2024-09-16,13717,13539,13717.0,5.31,100.0,非必需性消费,非日常生活消费品,IPO打新中签结果
8629.HK,集信国控,2024-09-05,2480,2476,844.1302,14.33,10.06,地产建筑业,工业,IPO打新中签结果
2410.HK,同源康医药-B,2024-08-19,974,970,648.9756,2.29,47.88,医疗保健业,医疗保健,IPO打新中签结果
2533.HK,黑芝麻智能,2024-08-07,3296,3295,3296.0,2.52,100.0,资讯科技业,信息技术,IPO打新中签结果
1471.HK,众淼控股,2024-08-05,4677,4677,4677.0,16.07,50.0,金融业,金融,IPO打新中签结果
2531.HK,广联科技控股,2024-07-12,2613,2611,2613.0,2.49,100.0,资讯科技业,信息技术,IPO打新中签结果
