decision_tier_step8,code,name,listing_date,lifecycle_stage,step8_score,primary_score_step8,cornerstone_score_step8,secondary_score_step8,primary_recommendation_step8,cornerstone_recommendation_step8,secondary_recommendation_step8,buy_trigger_step8,sell_trigger_step8,risk_tags_step8
C 等触发,2583.HK,西普尼,2025-09-30,已上市/半新股,63.2,54.0,49.2,76.2,只看二级/等待价格确认,不建议锁定,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,公开超购极热；孖展拥挤；一手中签率低；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；中签率极低
C 等触发,6168.HK,周六福,2025-06-26,已上市/半新股,63.2,57.4,53.8,73.4,只看二级/等待价格确认,不建议基石，除非估值显著让利,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,孖展拥挤；一手中签率低；基石阵容较多；孖展极度拥挤；公开认购过热；中签率极低；关注基石锁定期
C 等触发,1879.HK,曦智科技-P,2026-04-28,已上市/半新股,63.2,54.9,51.6,75.5,只看二级/等待价格确认,不建议锁定,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,公开超购极热；孖展拥挤；基石阵容较多；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；关注基石锁定期
C 等触发,2630.HK,旺山旺水-B,2025-11-06,已上市/半新股,63.1,53.6,49.0,75.9,只看二级/等待价格确认,不建议锁定,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,首日情绪强但后续不足：放量不创新高止盈,公开超购极热；孖展拥挤；一手中签率低；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；中签率极低
C 等触发,2539.HK,乐摩科技,2025-12-03,已上市/半新股,63.0,54.0,49.2,75.7,只看二级/等待价格确认,不建议锁定,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,公开超购极热；孖展拥挤；一手中签率低；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；中签率极低
C 等触发,2652.HK,长风药业,2025-10-08,已上市/半新股,63.0,53.3,48.7,75.8,只看二级/等待价格确认,不建议锁定,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,首日情绪强但后续不足：放量不创新高止盈,公开超购极热；孖展拥挤；一手中签率低；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；中签率极低
C 等触发,1236.HK,乐动机器人,2026-05-11,已上市/半新股,62.8,54.9,50.3,74.6,只看二级/等待价格确认,不建议锁定,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,首日情绪强但后续不足：放量不创新高止盈,公开超购极热；孖展拥挤；一手中签率低；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；中签率极低；行情样本不足；关注基石锁定期
C 等触发,3277.HK,长光辰芯,2026-04-17,已上市/半新股,62.7,54.9,51.7,73.7,只看二级/等待价格确认,不建议锁定,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；中签率极低；关注基石锁定期
C 等触发,6960.HK,双登股份,2025-08-26,已上市/半新股,62.6,54.6,51.2,74.4,只看二级/等待价格确认,不建议锁定,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,持仓风控：发行价、首日VWAP、20D低点为核心防线,公开超购极热；孖展拥挤；一手中签率低；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；中签率极低；关注基石锁定期
C 等触发,2720.HK,乐欣户外,2026-02-10,已上市/半新股,62.6,53.6,48.3,75.8,只看二级/等待价格确认,不建议锁定,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,公开超购极热；孖展拥挤；一手中签率低；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；中签率极低；关注基石锁定期
C 等触发,2629.HK,MIRXES-B,2025-05-23,已上市/半新股,62.6,51.4,54.1,78.4,回避或仅跟踪,不建议基石，除非估值显著让利,趋势确认买入/持有,趋势确认：回踩不破首日VWAP/发行价可试仓,持仓风控：发行价、首日VWAP、20D低点为核心防线,暗盘强势；关注基石锁定期
C 等触发,6656.HK,思格新能,2026-04-16,已上市/半新股,62.4,54.5,51.0,73.7,只看二级/等待价格确认,不建议锁定,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,首日情绪强但后续不足：放量不创新高止盈,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；中签率极低；关注基石锁定期
C 等触发,2687.HK,卓越睿新,2025-12-08,已上市/半新股,62.3,54.5,49.5,74.7,只看二级/等待价格确认,不建议锁定,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,公开超购极热；孖展拥挤；一手中签率低；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；中签率极低
C 等触发,1276.HK,恒瑞医药,2025-05-23,已上市/半新股,62.3,56.8,53.0,71.4,只看二级/等待价格确认,不建议基石，除非估值显著让利,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,持仓风控：发行价、首日VWAP、20D低点为核心防线,孖展拥挤；基石阵容较多；暗盘强势；孖展极度拥挤；公开认购过热；关注基石锁定期
C 等触发,6090.HK,不同集团,2025-09-23,已上市/半新股,61.8,55.4,51.3,72.1,只看二级/等待价格确认,不建议锁定,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,持仓风控：发行价、首日VWAP、20D低点为核心防线,公开超购极热；孖展拥挤；一手中签率低；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；中签率极低；关注基石锁定期
C 等触发,6603.HK,IFBH,2025-06-30,已上市/半新股,61.7,53.8,50.3,73.9,只看二级/等待价格确认,不建议锁定,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,持仓风控：发行价、首日VWAP、20D低点为核心防线,公开超购极热；孖展拥挤；基石阵容较多；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；关注基石锁定期
C 等触发,2675.HK,精锋医疗-B,2026-01-08,已上市/半新股,61.3,54.3,48.9,71.8,只看二级/等待价格确认,不建议锁定,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,持仓风控：发行价、首日VWAP、20D低点为核心防线,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；中签率极低；关注基石锁定期
C 等触发,2685.HK,量化派,2025-11-27,已上市/半新股,61.2,51.5,44.3,74.6,回避或仅跟踪,不建议锁定,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,公开超购极热；孖展拥挤；一手中签率低；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；中签率极低
C 等触发,2589.HK,沪上阿姨,2025-05-08,已上市/半新股,61.0,54.6,50.9,71.0,只看二级/等待价格确认,不建议锁定,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,首日情绪强但后续不足：放量不创新高止盈,公开超购极热；孖展拥挤；暗盘强势；孖展极度拥挤；公开认购过热；关注基石锁定期
C 等触发,1384.HK,滴普科技,2025-10-28,已上市/半新股,61.0,50.8,43.8,74.2,回避或仅跟踪,不建议锁定,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,公开超购极热；孖展拥挤；一手中签率低；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；中签率极低
C 等触发,2556.HK,迈富时,2024-05-16,已上市/半新股,60.6,50.2,54.9,77.7,回避或仅跟踪,不建议基石，除非估值显著让利,等待回踩发行价/VWAP后试仓,二级高分：趋势延续持有/试仓,短期涨幅过大：分批止盈并跟踪成交背离,等待更多结构数据；关注基石锁定期
