code,name,listing_date,issue_price,offer_price_low,offer_price_high,public_subscription_multiple,international_subscription_multiple,one_lot_success_rate_pct,cornerstone_count,cornerstone_amount_hkd,margin_multiple,decision_tier,pre_listing_score
9973.HK,奇瑞汽车,2025-09-25,30.75,27.75,30.75,308.18,11.61,0.67,13.0,4572478875.0,274.9745,C 等待触发,60.4
6090.HK,不同集团,2025-09-23,71.2,62.01,71.2,3317.47,7.37,1.0,3.0,116965500.0,3279.7747,A 高优先,75.7
2595.HK,劲方医药-B,2025-09-19,20.39,20.39,20.39,2662.79,39.05,0.08,19.0,779630000.006,2721.7743,A 高优先,91.2
2656.HK,健康160,2025-09-17,11.89,11.89,14.86,751.77,1.92,8.0,,,594.5344,C 等待触发,57.2
2525.HK,禾赛-W,2025-09-16,212.8,,228.0,168.65,14.09,30.0,6.0,1153700001.0,139.0078,C 等待触发,60.2
2543.HK,大行科工,2025-09-09,49.5,49.5,49.5,7558.4,21.65,0.02,4.0,99692598.67,7752.2031,A 高优先,82.5
2580.HK,奥克斯电气,2025-09-02,17.42,16.0,17.42,557.2,8.3,10.0,5.0,974150788.0,527.9481,B 重点观察,63.0
3858.HK,佳鑫国际资源,2025-08-28,10.92,10.92,10.92,2041.62,21.11,1.0,7.0,599567000.0,1937.9417,A 高优先,87.0
6960.HK,双登股份,2025-08-26,14.51,14.51,14.51,3876.25,18.75,0.06,1.0,238740285.0,3603.2196,A 高优先,78.8
2631.HK,天岳先进,2025-08-20,42.8,,42.8,2809.19,9.04,30.0,5.0,740240200.0,2926.1255,A 高优先,81.2
2591.HK,银诺医药-B,2025-08-15,18.68,18.68,18.68,5341.66,10.67,0.5,5.0,78300000.0,5317.1461,A 高优先,78.9
2627.HK,中慧生物-B,2025-08-11,12.9,12.9,15.5,4007.64,0.99,1.0,1.0,102034400.0,4076.8897,B 重点观察,71.3
6887.HK,东阳光药,2025-08-07,,,,,,,,,,D 回避/仅跟踪,45.0
9887.HK,维立志博-B,2025-07-25,35.0,31.6,35.0,3494.78,40.78,0.27,17.0,541626300.0,3633.6845,A 高优先,89.7
2590.HK,极智嘉-W,2025-07-09,16.8,16.8,16.8,133.62,30.17,4.26,4.0,716727640.0,129.7306,C 等待触发,60.1
2597.HK,讯众通信,2025-07-09,13.55,13.55,15.15,12.79,1.01,20.01,1.0,129490575.0,13.5377,D 回避/仅跟踪,46.4
2651.HK,大众口腔,2025-07-09,20.0,20.0,21.4,108.25,0.96,10.0,,,111.1419,D 回避/仅跟踪,46.0
6613.HK,蓝思科技,2025-07-09,18.18,17.38,18.18,462.76,16.68,20.0,10.0,1499337324.0,487.179,B 重点观察,67.5
1304.HK,FORTIOR,2025-07-09,120.5,,120.5,138.26,8.61,20.0,10.0,879131850.0,126.0586,C 等待触发,59.6
1828.HK,富卫集团,2025-07-07,38.0,38.0,38.0,37.13,2.32,20.0,2.0,1949996600.0,28.3516,D 回避/仅跟踪,48.0
2648.HK,安井食品,2025-07-04,60.0,,66.0,44.2,5.85,70.0,6.0,706428000.0,41.6073,C 等待触发,52.7
2592.HK,拨康视云-B,2025-07-03,10.1,10.1,10.1,78.78,0.89,5.0,2.0,178972000.0,75.7715,D 回避/仅跟踪,46.1
9678.HK,云知声,2025-06-30,205.0,165.0,205.0,91.66,1.7,10.01,3.0,95325677.0,72.4762,D 回避/仅跟踪,48.5
6603.HK,IFBH,2025-06-30,27.8,25.3,27.8,2682.35,22.93,10.0,11.0,309970000.0,2910.7879,A 高优先,88.0
3880.HK,泰德医药,2025-06-30,30.6,28.4,30.6,301.15,2.43,50.0,2.0,78495000.0,317.2,C 等待触发,53.4
6168.HK,周六福,2025-06-26,24.0,24.0,24.0,711.11,13.55,0.82,8.0,576247327.3029,772.0952,B 重点观察,69.8
2508.HK,圣贝拉集团,2025-06-26,6.58,6.58,6.58,193.0,15.59,2.54,7.0,324643434.0,197.6446,C 等待触发,59.2
6883.HK,颖通控股,2025-06-26,2.88,2.8,3.38,35.84,3.5,10.0,,,35.87,D 回避/仅跟踪,45.9
2643.HK,曹操出行,2025-06-25,41.94,41.94,41.94,21.14,2.78,50.0,6.0,951620000.0,13.1209,C 等待触发,51.8
2619.HK,香江电器,2025-06-25,2.86,2.86,3.35,852.38,1.08,10.0,3.0,86715200.0,871.2438,B 重点观察,63.1
2050.HK,三花智控,2025-06-23,22.53,21.21,22.53,747.92,23.57,15.0,17.0,4408777600.0,777.9222,A 高优先,77.4
2609.HK,佰泽医疗,2025-06-23,4.22,4.22,6.75,25.92,0.98,20.0,1.0,149041116.0,21.8901,D 回避/仅跟踪,46.9
2617.HK,药捷安康-B,2025-06-23,13.15,13.15,13.15,3419.87,0.97,0.8,5.0,128528100.0,3628.9518,B 重点观察,74.3
3288.HK,海天味业,2025-06-19,36.3,35.0,36.3,918.15,22.93,5.0,8.0,4664800000.0,906.8347,A 高优先,78.8
9881.HK,容大科技,2025-06-10,10.0,10.0,12.0,275.96,0.96,6.01,7.0,80300000.0,312.1683,C 等待触发,54.6
2605.HK,元光科技,2025-06-10,9.75,9.75,9.75,274.44,2.49,45.0,,,276.0087,C 等待触发,52.1
2573.HK,新琪安,2025-06-10,18.9,18.9,20.9,149.37,0.93,10.0,2.0,60000000.0,169.0827,D 回避/仅跟踪,48.9
2621.HK,手回集团,2025-05-30,8.08,6.48,8.08,990.0,1.13,5.0,2.0,49055296.0,1084.8271,B 重点观察,63.9
2603.HK,吉宏股份,2025-05-27,7.68,7.48,10.68,49.39,1.62,50.0,3.0,155443200.0,48.6062,D 回避/仅跟踪,48.8
2565.HK,派格生物医药-B,2025-05-27,15.6,15.6,15.6,743.78,1.13,8.0,1.0,149518200.0,825.3377,C 等待触发,59.8
1276.HK,恒瑞医药,2025-05-23,44.05,41.45,44.05,454.85,17.09,10.0,7.0,4130718270.0,531.1584,B 重点观察,66.3
2629.HK,MIRXES-B,2025-05-23,23.3,23.3,23.3,25.51,0.98,95.0,2.0,449373120.0,30.2896,D 回避/仅跟踪,47.4
3750.HK,宁德时代,2025-05-20,263.0,,263.0,151.15,15.17,10.0,23.0,20371099680.0,156.5121,C 等待触发,59.8
6831.HK,绿茶集团,2025-05-16,7.19,7.19,7.19,317.54,7.2,40.0,8.0,605268580.0,365.444,C 等待触发,61.2
2865.HK,钧达股份,2025-05-08,22.15,20.4,28.6,3.5,1.08,23.84,2.0,493090000.0,7.4761,D 回避/仅跟踪,47.4
2589.HK,沪上阿姨,2025-05-08,113.12,95.57,113.12,3616.83,2.57,10.0,2.0,9215543.0,4480.6007,B 重点观察,74.0
1333.HK,博雷顿,2025-05-07,18.0,18.0,18.0,198.72,0.92,2.0,2.0,63500000.0,241.7911,D 回避/仅跟踪,49.7
9606.HK,映恩生物-B,2025-04-15,94.6,94.6,103.2,115.14,13.52,80.01,15.0,505334280.0,138.6182,B 重点观察,62.0
3677.HK,正力新能,2025-04-14,8.27,8.27,8.27,3.51,1.13,100.0,3.0,621006705.0,2.7755,C 等待触发,51.3
2625.HK,江苏宏信,2025-03-31,2.5,2.5,3.0,46.96,0.93,3.91,1.0,39000000.0,50.2179,D 回避/仅跟踪,44.6
2569.HK,舒宝国际,2025-03-27,0.51,0.5,0.6,167.09,1.02,30.01,,,184.1788,D 回避/仅跟踪,48.8
2610.HK,南山铝业国际,2025-03-25,26.6,26.6,31.5,3.89,1.67,100.0,4.0,934630000.0,2.266,D 回避/仅跟踪,49.1
2561.HK,维昇药业-B,2025-03-21,68.8,68.44,75.28,72.64,1.65,6.27,5.0,559951200.0,84.2975,C 等待触发,50.5
6693.HK,赤峰黄金,2025-03-10,13.72,13.72,15.83,9.53,3.67,28.0,2.0,744870000.0,8.3301,D 回避/仅跟踪,49.0
6676.HK,找钢网-W,2025-03-10,10.0,10.0,10.0,,,,,,,D 回避/仅跟踪,45.0
